koff[s-1];logkoff;MWT;TPSA;logP;molar refractivity;rotatable bonds;non-cyclic nitrogen;acyclic single valent nodes;cyclic trivalent nodes;acyclic trivalent nodes;mass eigen value high;mass eigen value low;gasteiger charge eigenvalue high;gasteiger charge low;crippen lowgp eigenvalue high;crippen lowgp low;crippen mr eigenvalue high;crippen mr low;valence electrons
0,0001;-4;458,922;109,26;2,238;118.942;6;1;5;10;1;35.496;9.971;2.264;-2.233;2.423;-3.124;6,32;-0,921;180
0,0001;-4;466,558;109,26;2,708;128.021;7;1;6;10;2;16.478;9.936;2.268;-2.233;2.426;-3.124;6.022;-0,921;168
0,00012;-3,920818754;442,482;99,35;5,001;130.164;3;1;1;12;1;16.149;9.985;2.323;-2.164;2.473;-2.278;6.059;0,094;162
0,000136;-3,866461092;491,595;106,06;5,363;146.947;5;2;4;13;1;16.266;9.924;2.217;-2.275;2,34;-2,29;6.004;0,1;186
0,000189;-3,723538196;459,484;86,46;5,745;132.327;3;1;2;13;1;19.142;9.985;2.323;-2.164;2.474;-2.278;6,06;0,094;168
0,000238;-3,623423043;529,646;113,93;1,554;144.785;4;1;5;12;1;32.233;10.019;2.315;-2.295;2.329;-3.115;7.889;-0,883;194
0,000278;-3,555955204;532,401;83,56;6,435;143.513;3;1;2;13;1;79.919;9,94;2.325;-2.171;2.478;-2.284;9.103;0,094;172
0,000294;-3,53165267;493,564;111,23;2,633;135.9;5;1;5;10;3;16.479;10.051;2.281;-2,31;2.297;-2.426;6.119;0,027;190
0,00033;-3,48148606;424,388;124,59;2,643;107.414;5;1;6;10;2;19.142;10,06;2.236;-2.174;2.348;-2.258;5.981;0,077;158
0,00034;-3,468521083;403,438;91,73;4,124;111.572;5;1;5;9;2;16.334;10.038;2.217;-2.179;2.362;-2.257;5.982;0,077;152
0,000485;-3,314258261;407,514;94,19;3,963;116.342;4;2;7;10;1;16.147;9.753;2.345;-2.299;2.382;-2.283;6.007;-0,12;158
0,000679;-3,168130226;456,546;81,69;4,281;133.951;5;1;4;10;2;16.478;10.025;2.205;-2.289;2.296;-2.357;6.094;0,099;174
0,000742;-3,129596095;454,574;72,46;5,435;136.983;5;1;4;10;2;16.257;10.025;2.205;-2.289;2.298;-2.293;6.094;0,099;174
0,000752;-3,123782159;470,597;76,9;2,779;139.753;5;1;5;11;2;16.257;10.025;2.212;-2.316;2.295;-3.116;6.094;-0,88;180
0,000765;-3,116338565;409,53;97,35;3,755;117.342;4;2;7;10;1;16.266;9.753;2.345;-2.301;2.382;-2.293;6.007;0,091;160
0,00091;-3,040958608;463,538;102;3,008;129.721;4;1;4;9;3;16.478;10,06;2,25;-2.289;2.295;-2.358;6.119;0,072;178
0,0011;-2,958607315;430,464;111,45;3,219;119.927;5;1;6;10;2;16.268;10.055;2,23;-2.188;2.349;-2,26;5.981;0,078;162
0,0012;-2,920818754;444,491;111,45;3,528;124.664;5;1;7;11;2;16.268;10.053;2.231;-2,19;2.349;-2,26;5.981;0,078;168
0,00124;-2,906578315;455,562;88,06;2,614;134.791;5;1;4;10;2;16.257;10.025;2.207;-2.275;2.295;-2.894;6.094;-0,655;174
0,00127;-2,896196279;415,925;99,08;3,91;116.264;6;1;8;10;0;35.496;10.048;2.171;-2.129;2.303;-2.158;6.343;0,084;154
0,00137;-2,863279433;470,529;98,76;3,808;134.091;5;1;5;11;2;16.484;10.025;2.223;-2.271;2.296;-2.412;6.095;-0,125;178
0,00138;-2,860120914;479,537;111,23;2,243;131.284;5;1;5;10;3; 16.48;10.071;2.298;-2.289;2.297;-2.357;6,12;0,072;184
0,00139;-2,8569852;449,619;73,66;3,916;133.306;5;1;7;9;2;16.257;9.891;2.229;-2.268;2.309;-3.095;6.093;-0,885;176
0,00151;-2,821023053;498,497;126,57;3,612;130.908;5;1;4;13;1; 19.16;9.944;2.268;-2.169;2.319;-2.266;6.055;0,075;184
0,0017;-2,769551079;400,41;111,45;2,65;104.777;6;1;7;9;2;19.142;10.059;2.231;-2.181;2.347;-2.274;5.981;0,079;152
0,00179;-2,747146969;436,493;111,45;3,281;117.804;5;1;6;10;2;32.133;10.058;2.231;-2.179;2.349;-2.256;7.094;0,078;158
0,00201;-2,696803943;465,554;102;3,254;131.835;7;2;6;8;4;16.478;10,07;2.234;-2.289;2.291;-2.357;6.119;0,079;180
0,0021;-2,677780705;388,807;104,82;3,832;100.274;5;1;6;9;1;35.496;9,98;2,26;-2.083;2.425;-2.231;6,32;0,095;140
0,00237;-2,625251654;414,509;72,46;4,51;125.246;5;2;6;9;3;16.257;10.025;2,2;-2.196;2.293;-2.259;6.094;0,099;158
0,00243;-2,614393726;449,511;102;2,618;125.104;4;1;4;9;3;16.478;10.071;2.258;-2.289;2.295;-2.357;6.119;0,079;172
0,003;-2,522878745;382,42;111,45;2,511;104.819;6;1;6;8;2;16.268;10.059;2.222;-2.181;2.344;-2.274;5.981;0,079;146
0,0042;-2,37675071;386,383;111,45;2,26;100.16;5;1;7;9;2;19.142;10,06;2,23;-2.176;2.346;-2.271;5.981;0,079;146
0,00453;-2,343901798;409,493;87,71;2,514;120.959;4;2;3;10;1;16.154;9.973;2.266;-2.167;2,3;-2.773;6.055;-0,643;154
